00000878,0000000d,25818
000008e8,00000002,26050
000008bc,00000002,26172
00000900,00000001,26472
00000864,00000004,26626
00000878,0000000d,26711
00000904,00000002,27010
000008e8,00000002,27405
00000878,0000000d,27614
000008f8,00000001,27973
000008dc,00000006,28164
00000858,00000002,28493
00000908,00000002,28660
00000908,00000002,28744
00000904,00000002,29058
000008f8,00000001,29454
00000840,00000002,29654
000008bc,00000002,29754
0000089c,00000015,30063
000008dc,00000006,30433
00000900,00000001,30621
000008b4,00000001,30718
000008f8,00000001,30767
00000858,00000002,30793
000008d0,00000002,30806
00000908,00000002,30813
00000878,0000000d,30828
0000087c,00000002,31091
00000878,0000000d,31511
00000904,00000002,31705
000008f8,00000001,31807
00000890,00000003,31861
00000908,00000002,32126
00000888,00000003,32532
000008a0,00000006,32738
00000888,00000003,32837
0000086c,00000002,33127
00000864,00000004,33275
000008b4,00000001,33617
000008e8,00000002,33791
00000900,00000001,33877
00000908,00000002,33922
00000904,00000002,34184
0000086c,00000002,34587
000008e8,00000002,34789
000008b4,00000001,35161
000008a0,00000006,35353
00000900,00000001,35442
000008bc,00000002,35762
00000878,0000000d,35933
00000904,00000002,36274
00000888,00000003,36723
000008f8,00000001,37185
000008f8,00000001,37689
00000888,00000003,38183
00000900,00000001,38667
00000900,00000001,39150
000008a0,00000006,39397
0000087c,00000002,39935
00000858,00000002,40026
0000087c,00000002,40072
000008e8,00000002,40335
00000858,00000002,40467
0000086c,00000002,40805
000008c8,000005c9,41233
0000086c,00000002,41246
000008d0,00000002,41467
000008a0,00000006,41582
00000864,00000004,41636
000008f8,00000001,41901
00000878,0000000d,42319
000008f4,00000008,42789
000008dc,00000006,43384
00000888,00000003,43561
00000908,00000002,43890
000008f4,00000008,44333
000008dc,00000006,44550
00000904,00000002,44656
00000908,00000002,44951
00000858,00000002,45099
000008b4,00000001,45444
000008dc,00000006,45894
000008f4,00000008,46119
0000086c,00000002,46225
0000087c,00000002,46521
000008dc,00000006,46913
00000900,00000001,47374
