000007d8,00000001,162094
00000828,00000002,162120
00000808,00000001,162132
00000840,00000001,162139
000007cc,00000002,162144
000007d8,00000001,162417
000007f0,00000001,162826
000007f8,00000002,163032
00000804,00000011,163150
00000808,00000001,163186
000007cc,00000002,163453
00000810,00000002,163858
00000808,00000001,164060
00000808,00000001,164162
00000818,00000011,164469
000007d4,0000000a,164608
00000808,00000001,164944
00000820,00000001,165117
00000834,00000007,165210
000007f8,00000002,165249
00000834,00000007,165516
000007c4,00000001,165913
00000844,00000001,166115
00000840,00000001,166488
00000840,00000001,166675
000007d4,0000000a,167097
00000818,00000011,167264
000007f0,00000001,167600
000007d8,00000001,168048
00000810,00000002,168513
000007d4,0000000a,169025
000007cc,00000002,169509
000007f0,00000001,169994
00000828,00000002,170478
00000844,00000001,170719
000007d4,0000000a,171089
00000838,00000001,171261
000007d4,0000000a,171361
00000840,00000001,171398
000007f8,00000002,171662
000007cc,00000002,171794
00000818,00000011,172147
00000810,00000002,172573
00000810,00000002,172794
000007c4,00000001,172904
000007f8,00000002,172961
000007cc,00000002,173229
00000848,00000001,173634
00000810,00000002,174110
00000810,00000002,174348
00000820,00000001,174706
000007d8,00000001,174886
00000820,00000001,175216
000007f8,00000002,175654
000007d8,00000001,175872
00000828,00000002,175983
00000820,00000001,176277
000007f8,00000002,176426
00000828,00000002,176772
00000840,00000001,177216
00000848,00000001,177439
00000818,00000011,177567
00000848,00000001,177847
00000838,00000001,178701
00000810,00000002,179207
00000804,00000011,179475
00000840,00000001,179586
00000820,00000001,179650
00000820,00000001,179922
000007d8,00000001,180330
000007d8,00000001,180806
000007d8,00000001,181316
000007f8,00000002,181812
00000844,00000001,182059
00000844,00000001,182423
00000834,00000007,182851
000007f0,00000001,183296
00000818,00000011,183538
000007f8,00000002,183876
00000834,00000007,184058
00000848,00000001,184141
00000820,00000001,184186
00000848,00000001,184209
00000828,00000002,184222
00000820,00000001,184499
00000838,00000001,184910
00000844,00000001,185116
00000848,00000001,185491
000007c4,00000001,185679
00000828,00000002,186014
000007cc,00000002,186453
000007c4,00000001,186672
00000810,00000002,187055
00000840,00000001,187485
00000818,00000011,187717
00000844,00000001,188081
00000838,00000001,188511
00000818,00000011,188982
00000848,00000001,189194
00000838,00000001,189548
000007f8,00000002,189966
00000820,00000001,190174
00000838,00000001,190279
00000844,00000001,190332
00000810,00000002,190360
000007f8,00000002,190374
000007f8,00000002,190653
00000818,00000011,190808
00000828,00000002,191135
00000834,00000007,191583
00000838,00000001,191799
000007f8,00000002,192183
00000820,00000001,192374
00000848,00000001,192710
00000840,00000001,193150
00000844,00000001,193610
00000808,00000001,194112
00000844,00000001,194603
00000804,00000011,194865
00000834,00000007,195218
00000808,00000001,195394
00000844,00000001,195725
00000828,00000002,195892
00000828,00000002,196215
000007d8,00000001,196376
00000828,00000002,196698
000007d4,0000000a,196867
00000844,00000001,196939
000007f8,00000002,196981
000007d8,00000001,197012
00000818,00000011,197017
00000818,00000011,197034
00000834,00000007,197299
00000840,00000001,197431
00000844,00000001,197772
00000848,00000001,197943
000007c4,00000001,198029
00000818,00000011,198360
00000840,00000001,198502
000007cc,00000002,198854
00000808,00000001,199029
00000834,00000007,199363
000007f8,00000002,200252
00000804,00000011,200768
000007d4,0000000a,201012
00000818,00000011,201145
000007f8,00000002,201585
00000838,00000001,201932
000007c4,00000001,202378
00000840,00000001,202841
00000810,00000002,203074
00000808,00000001,203429
000007c4,00000001,203847
00000808,00000001,204296
00000828,00000002,204522
000007f8,00000002,204635
00000828,00000002,204692
00000848,00000001,204720
00000840,00000001,204735
000007f8,00000002,204744
00000818,00000011,205035
00000828,00000002,205430
00000834,00000007,205912
00000838,00000001,206145
00000840,00000001,206265
00000810,00000002,206566
000007c4,00000001,206955
00000810,00000002,207423
000007f0,00000001,207656
000007f0,00000001,208013
00000838,00000001,208192
000007cc,00000002,208283
00000834,00000007,208605
000007cc,00000002,208759
00000804,00000011,208854
00000834,00000007,209156
000007c4,00000001,209546
00000828,00000002,210017
00000810,00000002,210524
00000808,00000001,210777
00000820,00000001,211144
00000808,00000001,211328
00000848,00000001,211660
00000834,00000007,212104
00000834,00000007,212563
000007f0,00000001,212787
00000834,00000007,213148
000007d8,00000001,213320
00000818,00000011,213665
000007f0,00000001,213814
000007d4,0000000a,213906
00000820,00000001,213939
00000848,00000001,214200
00000828,00000002,214332
00000818,00000011,214413
00000810,00000002,214703
00000810,00000002,214856
000007c4,00000001,214932
00000844,00000001,214971
000007cc,00000002,214992
00000828,00000002,215274
00000848,00000001,215686
000007d4,0000000a,215902
000007f0,00000001,215997
00000808,00000001,216289
000007d4,0000000a,216684
000007cc,00000002,217141
00000838,00000001,217373
00000828,00000002,217491
000007d4,0000000a,217558
00000844,00000001,217579
00000838,00000001,217866
000007f0,00000001,218010
00000810,00000002,218355
00000820,00000001,218798
00000804,00000011,219276
00000848,00000001,219763
00000838,00000001,220015
000007f8,00000002,220382
000007d8,00000001,220804
00000828,00000002,221017
00000810,00000002,221395
00000834,00000007,221829
00000804,00000011,222054
00000834,00000007,222152
000007c4,00000001,222440
00000838,00000001,222827
000007d8,00000001,223021
00000810,00000002,223391
00000804,00000011,223591
00000840,00000001,223668
00000820,00000001,223715
000007c4,00000001,223739
00000834,00000007,224029
000007cc,00000002,224438
000007f0,00000001,224916
00000804,00000011,225172
000007d4,0000000a,225525
00000840,00000001,225936
000007f8,00000002,226387
00000818,00000011,226899
000007d8,00000001,227132
000007d4,0000000a,227266
00000840,00000001,227320
00000834,00000007,227358
00000828,00000002,227641
000007d4,0000000a,228065
00000804,00000011,228552
00000810,00000002,229049
000007f0,00000001,229544
00000848,00000001,230032
00000808,00000001,230516
00000838,00000001,230998
00000828,00000002,231480
00000840,00000001,231720
00000848,00000001,231841
00000818,00000011,231918
00000804,00000011,231949
000007f8,00000002,231950
00000838,00000001,232229
000007c4,00000001,232641
000007d4,0000000a,233128
00000838,00000001,233630
00000840,00000001,233886
00000810,00000002,234255
00000808,00000001,234678
000007c4,00000001,235130
00000844,00000001,235628
00000828,00000002,236118
000007cc,00000002,236363
000007f8,00000002,236486
00000848,00000001,236547
00000844,00000001,236818
00000844,00000001,236954
00000844,00000001,237294
00000810,00000002,237737
00000820,00000001,238197
000007d8,00000001,238428
000007c4,00000001,238544
00000818,00000011,238858
00000808,00000001,239231
